buffer,resolution,realised_deg,signal,n_cells,freq,variant,period,lag,lag_kind,n,block,r,p_naive,n_eff_first,p_eff_first,n_eff_nw,p_eff_nw,boot_lo,boot_hi,p_perm,p_fdr,fdr_reject,verdict
0.1,0.1,0.1091,footprint,72,ME,yoy,12,-6,peak,72,4,-0.2632,0.025483923816585815,54.7,0.05281304582868408,49.9,0.06493768539235832,-0.6082,0.1607,0.06778644271145771,0.21691661667666468,False,fragile (naive-only)
0.1,0.1,0.1091,footprint,72,ME,stl,12,0,lag0,90,4,0.0328,0.7589238980049235,71.3,0.785539987848374,65.8,0.7940471598801448,-0.2428,0.2273,0.8474305138972206,0.9961690201642212,False,ns
0.1,0.1,0.1091,footprint,72,ME,stl,12,6,peak,84,4,0.2536,0.019925850277349083,66.9,0.03852622799979251,61.7,0.047295834760037736,-0.2003,0.5318,0.08218356328734253,0.23907945683590553,False,fragile (naive-only)
0.1,0.15,0.1637,footprint,39,W,level,52,0,lag0,377,7,-0.1315,0.010587645802842794,302.3,0.022202259970542475,273.5,0.02966817969394894,-0.2654,-0.0065,0.033793241351729654,0.9961690201642212,False,fragile (naive-only)
0.1,0.15,0.1637,footprint,39,W,level,52,3,peak,374,7,-0.1664,0.001238675788393286,299.7,0.003867583590565249,271.3,0.006011327045927322,-0.3081,-0.0378,0.007398520295940812,0.1959608078384323,False,fragile (naive-only)
0.1,0.15,0.1637,footprint,39,W,intensity-model,52,0,lag0,377,7,-0.0034,0.9479217713734234,317.3,0.9522468545869428,299.1,0.9536460866885603,-0.1262,0.1095,0.9580083983203359,0.9961690201642212,False,ns
0.1,0.15,0.1637,footprint,39,W,intensity-model,52,-2,peak,375,7,0.0501,0.333660287771193,314.4,0.37634083343608005,297.5,0.38962017453739894,-0.067,0.1595,0.3869226154769046,0.5383271171852586,False,ns
0.1,0.15,0.1637,footprint,39,W,yoy,52,0,lag0,325,7,-0.0188,0.7356442350931426,234.4,0.7746680887667997,241.6,0.7712857360549866,-0.1602,0.1328,0.7658468306338733,0.9961690201642212,False,ns
0.1,0.15,0.1637,footprint,39,W,yoy,52,-8,peak,317,7,0.0376,0.5046037563382356,224.6,0.5749974977121277,221.1,0.57796612449513,-0.0771,0.1558,0.5358928214357128,0.5913300098600969,False,ns
0.1,0.15,0.1637,footprint,39,W,stl,52,0,lag0,377,7,0.0338,0.5123299569847766,306.0,0.5553172805383522,312.9,0.5508355935868041,-0.0804,0.1465,0.5832833433313337,0.9961690201642212,False,ns
0.1,0.15,0.1637,footprint,39,W,stl,52,-2,peak,375,7,0.09,0.08180473838425062,304.4,0.11719580223529436,311.3,0.11304501531879962,-0.0132,0.1967,0.10617876424715057,0.261363111992986,False,ns
